region,value
29045,106053
29047,4392
29049,55072
29051,5605
29053,7111
29055,1858
29057,2802
29059,1766
29061,3874
29063,4238
29065,2585
29067,10651
29069,40438
29071,5607
29073,2480
29075,175355
29077,3769
29079,2781
29081,8281
29083,1403
29085,1428
29087,3017
29089,16145
29091,3761
29093,390007
29095,60977
29097,51637
29099,20951
29101,1168
29103,13668
29105,9341
29107,9671
29109,2837
29111,12295
29113,4354
29115,6758
29117,7330
29119,5309
29121,3926
29123,1422
29125,14666
29127,840
29129,7078
29131,4159
29133,4304
29135,2262
29137,3148
29139,4704
29141,7964
29143,21553
29145,8648
29147,2804
29149,4086
29151,1722
29153,6206
29155,10280
29157,20867
29159,19634
29161,6179
29163,45318
29165,8882
29167,24554
29169,1293
29171,3735
29173,10232
29175,4737
29177,2111
29179,3041
29181,151158
29183,1872
29185,5989
29186,24799
29187,644065
29189,9461
29195,765
29197,1334
29199,16395
29201,1568
29203,1943
29205,10778
29207,7145
29209,2630
29211,29434
29213,6195
29215,7696
29217,7663
29219,5565
29221,2955
29223,7511
29225,470
29227,4642
29229,248389
29510,4110
30001,5025
30003,1672
30005,1440
30007,2860
30009,424
30011,40834
30013,1519
30015,5822
30017,729
30019,4294
30021,3456
30023,1725
30025,4776
30027,43015
30029,56011
30031,383
30033,4644
30035,237
30037,930
30039,8167
30041,2765
30043,557
30045,9096
30047,36931
30049,708
30051,5534
30053,693
30055,4100
30057,660
30059,1211
30061,62115
30063,1457
30065,6046
30067,163
30069,1517
30071,1983
30073,641
30075,2599
30077,366
30079,12008
30081,6893
30083,4029
30085,4432
30087,2932
30089,1720
30091,16718
30093,3394
30095,1617
30097,2029
30099,2256
30101,217
30103,3603
30105,639
30107,417
30109,85487
30111,16680
31001,2581
31003,152
31005,254
31007,186
31009,2456
31011,5343
31013,660
31015,1322
31017,28693
31019,2182
31021,2961
31023,6049
31025,3088
31027,2097
31029,2745
31031,6332
31033,2754
31035,5335
31037,4176
31039,4736
31041,13091
31043,3762
31045,12224
31047,672
31049,1860
31051,18367
31053,361556
31055,718
31057,2493
31059,883
31061,962
31063,2146
31065,9772
31067,706
31069,977
31071,547
31073,241
31075,773
31077,36486
31079,3870
31081,1012
31083,261
31085,900
31087,5196
31089,361
31091,1922
31093,3714
31095,1781
31097,2440
31099,3749
31101,241
31103,1643
31105,3299
31107,179151
31109,17836
31111,216
31113,149
31115,125
31117,22969
31119,2546
31121,1755
31123,1270
31125,3339
31127,1637
31129,6685
31131,1045
31133,1349
31135,5193
31137,2323
31139,19787
31141,1635
31143,5754
31145,2920
31147,571
31149,7759
31151,78920
31153,5971
31155,18806
31157,6928
31159,1944
31161,963
31163,286
31165,1477
31167,2685
31169,310
31171,3085
31173,1955
31175,8779
31177,4343
31179,1181
31181,362
31183,8503
31185,8753
32001,949536
32003,19567
32005,22516
32007,399
32009,4586
32011,8165
32013,3534
32015,1568
32017,11736
32019,1638
32021,11501
32023,1907
32027,5613
32029,209387
32031,4326
32033,29048
32510,27068
33001,20963
33003,34444
33005,12636
33007,57003
33009,211286
33011,80915
33013,155066
33015,52516
33017,15065
33019,133853
34001,479893
34003,219518
34005,210605
34007,43970
34009,63254
34011,361257
34013,109771
34015,266294
34017,51248
34019,229341
34021,431937
34023,273688
34025,309601
34027,171969
34029,176516
34031,22040
34033,197139
34035,41689
34037,235160
34039,36087
34041,347223
35001,773
35003,22665
35005,8445
35006,5342
35007,22832
35009,612
35011,77522
35013,30327
35015,10127
35017,1629
35019,204
35021,1590
35023,33420
35025,6894
35027,16510
35028,8042
35029,22081
35031,802
35033,22540
35035,2977
35037,10951
35039,6315
35041,31897
35043,53250
35045,9242
35047,65475
35049,3466
35051,6041
35053,11237
35055,3526
35057,1564
35059,15141
35061,243208
36001,14514
36003,319288
36005,90347
36007,30648
36009,27234
36011,52277
36013,38180
36015,18886
